t,p,p_d,v,v_d,q,R,w,fa,pwm
0.0,"[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[-0.0, 4.1887902047863905, 4.1887902047863905]","[1.0, 0.0, 0.0, 0.0]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[49.52272205765753, 49.52272205765753, 49.52272205765753, 49.52272205765753]"
0.005,"[1.0, 0.0, 0.0]","[0.9997806834748455, 0.02094241988335696, 0.020943568232491588]","[0.0, 0.0, 0.0]","[-0.08772340327192939, 4.187871533874076, 4.188560530761726]","[1.0, 0.0, 0.0, 0.0]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[50.266732981195105, 67.78418785559695, 49.82944306892954, 20.372081825861546]"
0.01,"[1.0, 0.0, 0.0]","[0.9991228300988584, 0.04187565372919963, 0.04188483976671392]","[0.0, 0.0, 0.0010471784116245697]","[-0.1754083281598981, 4.185115924096555, 4.187871533874076]","[1.0, 0.0, 0.0, 0.0]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[-0.41796744053232604, -0.004377104804307691, 4.661160346586258e-18]","[0.0, 0.0, 0.0]","[51.17125164796782, 67.52962877907815, 49.90682630217831, 23.429416205602468]"
0.015,"[1.0, 0.0, 5.2358920581228485e-06]","[0.9980267284282716, 0.06279051952931336, 0.06282151815625657]","[0.0, 0.0, 0.0030890614793790405]","[-0.26301631315783636, 4.180524584155351, 4.186723289679714]","[0.9999994540131335, -0.0010449180308189823, -1.0942756036164888e-05, 1.1652894504134816e-20]","[[0.9999999997605123, 2.2868566178060585e-08, -2.1885500123127615e-05], [2.2868566178107198e-08, 0.9999978162926179, 0.0020898349206149216], [2.1885500123127615e-05, -0.0020898349206149216, 0.9999978160531301]]","[-0.8190987624628014, -0.01715767317069294, 7.958078640513123e-19]","[0.0, 0.0, 0.0]","[51.97943924669976, 65.76100964540014, 49.991208725990006, 29.716471612788784]"
0.02,"[1.0, 0.0, 2.068119945501805e-05]","[0.9964928592495044, 0.0836778433323155, 0.08375130745839926]","[-1.138982938777188e-06, 0.00010876088305269273, 0.006081758465560335]","[-0.3505089305080533, 4.174099527963907, 4.185115924096555]","[0.9999952162746708, -0.0030926573319251943, -5.3836802617773246e-05, 2.24128633273825e-08]","[[0.9999999942031965, 2.8817205246573085e-07, -0.00010767322878520604], [3.778230769073328e-07, 0.9999808709412538, 0.006185285072590688], [0.00010767295152398165, -0.006185285077417235, 0.9999808651444522]]","[-1.1632429329096743, -0.03743178862227819, -1.3192040818479757e-05]","[0.0, 0.0, 0.0]","[52.66541057047282, 63.998428992335874, 50.08667589682385, 34.833021424685036]"
0.025,"[0.9999999943050853, 5.438044152634637e-07, 5.108999178281973e-05]","[0.9945218953682733, 0.10452846326765346, 0.10467191248588766]","[-6.8410658080986566e-06, 0.000436316845218982, 0.009988039475430775]","[-0.43784780305692084, 4.165843573764219, 4.18304961339035]","[0.9999819846197178, -0.00600072534818704, -0.00014741536969360477, 1.222784398403082e-07]","[[0.9999999565373877, 1.524645817370127e-06, -0.00029482689541798757], [2.013750765160984e-06, 0.9999279825905614, 0.012001234449624403], [0.00029482396038065363, -0.01200123452172729, 0.9999279391280088]]","[-1.4514888861011235, -0.06392882543857772, -6.68274850378358e-05]","[0.0, 0.0, 0.0]","[53.22976114725116, 62.41314552031098, 50.17833225929068, 39.00497268271653]"
0.030000000000000002,"[0.9999999600997563, 2.7253886413583737e-06, 0.0001010301891599736]","[0.9921147013144779, 0.12533323356430426, 0.12558103905862675]","[-2.2714635968053898e-05, 0.0010824669760342255, 0.014774465335238924]","[-0.5249946210883626, 4.155760342890661, 4.180524584155351]","[0.9999535898380183, -0.009629318626058075, -0.00030723397359471024, 3.793291161298331e-07]","[[0.9999998112142835, 5.158284626178538e-06, -0.0006144467349943056], [6.675530671794974e-06, 0.9998145524453083, 0.01925774322255615], [0.0006144321242706122, -0.019257743688727316, 0.999814363660167]]","[-1.6888901700771286, -0.09548306978554147, -0.00019785974024142772]","[0.0, 0.0, 0.0]","[53.67794189281169, 61.02802974559994, 50.254096613850756, 42.51809527785148]"
0.035,"[0.9999998465265765, 8.1377235215295e-06, 0.00017490251583616821]","[0.9892723329629883, 0.14608302856241162, 0.14647639425526338]","[-5.6321814003584445e-05, 0.0021357696761437383, 0.02040933451648587]","[-0.6119111591277603, 4.1438542581815465, 4.17754111328947]","[0.9999039181597466, -0.013851223996300533, -0.0005459320525972121, 8.860759600551928e-07]","[[0.9999994039148177, 1.3351672646075525e-05, -0.0010917837433550913], [1.689563594306091e-05, 0.9996162871860383, 0.027699785322943878], [0.0010917346504086896, -0.027699787257892947, 0.9996156911039965]]","[-1.880553368934466, -0.13106779172292368, -0.0004486860769693742]","[0.0, 0.0, 0.0]","[54.01757797193794, 59.84535021024002, 50.306289085736694, 45.547421746748896]"
0.04,"[0.9999995649175064, 1.8816571902248192e-05, 0.00027694918841859753]","[0.9859960370705049, 0.16676874671610228, 0.167355686664631]","[-0.0001169412231415723, 0.003673752476992094, 0.026861271533400562]","[-0.6985592927089118, 4.130130542039129, 4.174099527963907]","[0.9998275161503956, -0.018551948776623143, -0.0008735800505129455, 1.7364367135780067e-06]","[[0.9999984737097602, 2.8940950286213943e-05, -0.0017469231726957195], [3.588549911137016e-05, 0.9993116503871486, 0.037097494696328046], [0.0017467943155558628, -0.03709750076399393, 0.9993101241089698]]","[-2.031243200335472, -0.16978539256059214, -0.0008635103130301416]","[0.0, 0.0, 0.0]","[54.25771517467174, 58.8608603448831, 50.331024065089146, 48.20235362354245]"
0.045,"[0.9999989802113907, 3.718533428720866e-05, 0.00041125554608560037]","[0.9822872507286887, 0.18738131458572463, 0.18821662663702865]","[-0.0002153382379630628, 0.005763302144961704, 0.034098310728994816]","[-0.7849010150966805, 4.114595214138885, 4.170200205587276]","[0.9997199565946696, -0.023628871475275034, -0.0012980023333959033, 3.016485040770247e-06]","[[0.9999966303616866, 5.5309380032783205e-05, -0.002595420225079336], [6.737194120889242e-05, 0.9988833528474115, 0.04724450090047674], [0.0025951351205299946, -0.047244516562095225, 0.9988799832454949]]","[-2.1453565989045518, -0.21085415981411426, -0.0014854225849751047]","[0.0, 0.0, 0.0]","[54.408278129862815, 58.06584188700874, 50.32738111447216, 50.555462037829095]"
0.049999999999999996,"[0.9999979035202009, 6.600184501201718e-05, 0.0005817470997305745]","[0.9781476007338057, 0.20791169081775931, 0.20905692653530691]","[-0.00036354455482512935, 0.008461105530628165, 0.04208736817085175]","[-0.8708984539580068, 4.097255088789074, 4.165843573764219]","[0.9995780258008718, -0.028990333587366975, -0.0018250675345724665, 4.797818789588089e-06]","[[0.9999933382109505, 9.622704482576484e-05, -0.0036488729870568248], [0.00011541022176115201, 0.9983191210709483, 0.05795618331645135], [0.003648316625588017, -0.05795621834182459, 0.998312459373975]]","[-2.2269353241234238, -0.25359570373563217, -0.0023542040189903834]","[0.0, 0.0, 0.0]","[54.479613573512054, 57.44803348507977, 50.29663303519597, 52.657374177756374]"
0.05499999999999999,"[0.9999960857974268, 0.000108307372665158, 0.0007921839405848332]","[0.9735789028731603, 0.2283508701106557, 0.22987430098573317]","[-0.0005746474596414967, 0.011814118555080208, 0.05079401271172017]","[-0.9565138879739639, 4.078117771941774, 4.161030110248507]","[0.9993997806904046, -0.034554766383566096, -0.002458947999003053, 7.133472005660934e-06]","[[0.9999879070477036, 0.00015567836659373835, -0.004915437172782841], [0.00018419512802581305, 0.9976119361385816, 0.06906801680941484], [0.004914451190948203, -0.06906808697276169, 0.9975998433898308]]","[-2.279683073724084, -0.29742340377983545, -0.003504796052595833]","[0.0, 0.0, 0.0]","[54.48212504111004, 56.99253021569939, 50.241591339207694, 54.54485742388493]"
