t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0.005,"[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[-0.0, 4.1887902047863905, 0.0]","[1.0, 0.0, 0.0, 0.0]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]",[9.81],"[1.0, 0.0, 0.0, 0.0]",[0.5],"[0.0, 0.0, 0.0]","[49.52272205765753, 49.52272205765753, 49.52272205765753, 49.52272205765753]"
0.01,"[1.0, 0.0, 0.0]","[0.9997806834748455, 0.02094241988335696, 0.0]","[0.0, 0.0, -8.881784197001253e-18]","[-0.08772340327192939, 4.187871533874076, 0.0]","[1.0, 0.0, 0.0, 0.0]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[-0.42688769508821817, -0.0044705209063430175, 7.958078640513123e-19]",[9.81],"[0.9999430442874687, -0.010672192377205457, -0.00011176302265857655, 0.0]",[0.5],"[0.0, 0.0, 0.0]","[49.74789045308067, 67.72694054393045, 49.29652518655128, 17.834279479668048]"
0.015,"[1.0, 0.0, -4.4408920985006264e-20]","[0.9991228300988584, 0.04187565372919963, 0.0]","[0.0, 0.0, -8.881784197001253e-18]","[-0.1754083281598981, 4.185115924096555, 0.0]","[0.999999430459581, -0.0010672186298960535, -1.1176295900501668e-05, 1.9895185270164197e-21]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[-0.8531510879662074, -0.01787096770666908, 6.821210263296962e-19]",[9.81],"[0.9997724159307505, -0.021328777199155186, -0.0004467741926667256, 0.0]",[0.5],"[0.0, 0.0, 0.0]","[50.19464347917644, 67.7038917964835, 48.84155777612309, 17.92158016498695]"
0.02,"[1.0, 0.0, -8.881784197001253e-20]","[0.9980267284282716, 0.06279051952931336, 0.0]","[-1.096541342188792e-06, 0.00010470815726904416, 6.479820177691664e-06]","[-0.26301631315783636, 4.180524584155351, 0.0]","[0.9999948781459395, -0.0032000878529983676, -5.58535626223768e-05, 2.3842847403424552e-08]","[[0.999999999750181, 2.3855102396488566e-08, -2.235257907029884e-05], [2.3855102396496527e-08, 0.9999977220887921, 0.002134436044143816], [2.235257907029884e-05, -0.002134436044143816, 0.999997721838973]]","[-1.2355018270806752, -0.03972124790157818, -1.42914690186774e-05]",[9.811318315798552],"[0.9994888285103636, -0.03195423697440564, -0.0010042023523699616, 0.0]",[0.5],"[0.0, 0.0, 0.0]","[50.59935322014352, 66.07851169744451, 48.39206282385322, 23.29940593673224]"
0.025,"[0.9999999945172933, 5.235407863452208e-07, 3.23991008883695e-08]","[0.9964928592495044, 0.0836778433323155, 0.0]","[-6.578596482360998e-06, 0.00041879795329359667, 3.0909087243218284e-05]","[-0.3505089305080533, 4.174099527963907, 0.0]","[0.9999802132864739, -0.006288796566418715, -0.0001551556208528821, 1.3337448159158159e-07]","[[0.9999999937607581, 3.0978716402142375e-07, -0.00011170670569557327], [4.0515806515678276e-07, 0.9999795188754652, 0.006400142922567391], [0.00011170640049874786, -0.006400142927894223, 0.9999795126362254]]","[-1.5713266282101976, -0.0690529548389417, -7.422823213841892e-05]",[9.8150869386697],"[0.9990957033951164, -0.04248057726649846, -0.0017821370661127579, 0.0]",[0.5],"[0.0, 0.0, 0.0]","[50.92090115035548, 64.34584552016551, 47.954364812711674, 27.96676285181716]"
0.030000000000000002,"[0.9999999616243108, 2.617530552813204e-06, 1.8694453710446092e-07]","[0.9945218953682733, 0.10452846326765346, 0.0]","[-2.1817801709492736e-05, 0.0010364729209859334, 8.714886514782805e-05]","[-0.43784780305692084, 4.165843573764219, 0.0]","[0.9999477518151234, -0.010216956372359998, -0.0003277837490754551, 4.2395386243846514e-07]","[[0.9999999518534312, 1.6847405862624927e-06, -0.0003103067791960844], [2.2182279564581834e-06, 0.9999209020754569, 0.012577344222217662], [0.0003103034241361569, -0.012577344304992865, 0.9999208539289591]]","[-1.8624112417827425, -0.10488430876203561, -0.00022509867733291325]",[9.822025330295478],"[0.9985990603625446, -0.05284131257212436, -0.002777107973767122, 0.0]",[0.5],"[0.0, 0.0, 0.0]","[51.14493422168052, 62.68802282801641, 47.51305880817492, 31.920872017544518]"
0.035,"[0.9999998525353023, 7.79989515774287e-06, 6.226888628436012e-07]","[0.9921147013144779, 0.12533323356430426, 0.0]","[-5.4045962872755874e-05, 0.00204100521289846, 0.00018949968571992494]","[-0.5249946210883626, 4.155760342890661, 0.0]","[0.9998892230183271, -0.01487257919344314, -0.0005899821292033777, 1.0140512142323702e-06]","[[0.9999997851152684, 5.850041104507681e-06, -0.0006555419089753006], [7.5457679509824056e-06, 0.9997912276046113, 0.020432844831938784], [0.0006555245829028349, -0.02043284538779953, 0.9997910127205984]]","[-2.1110973730962037, -0.14627524864739377, -0.0005222901611489604]",[9.832525036771504],"[0.9980070056402895, -0.06297731712471301, -0.003984246563225055, 0.0]",[0.5],"[0.0, 0.0, 0.0]","[51.263408227922774, 61.1449985790922, 47.05345496654926, 35.3814858097081]"
0.04,"[0.9999995823054879, 1.8004921222235172e-05, 1.570187291443226e-06]","[0.9892723329629883, 0.14608302856241162, 0.0]","[-0.00011213488520354814, 0.00350530376324174, 0.00035127191786951786]","[-0.6119111591277603, 4.1438542581815465, 0.0]","[0.9997965224057971, -0.020149454859941344, -0.0009556411391077292, 2.0333932412977188e-06]","[[0.9999993038401179, 1.5521234117187682e-05, -0.001179863708641707], [1.9576989639986066e-05, 0.9995576127742131, 0.029741862111476607], [0.0011798033824137473, -0.029741864504564987, 0.999556916618444]]","[-2.319856361410937, -0.19233759406353249, -0.0010274177701920701]",[9.846717363256456],"[0.9973292285543899, -0.07283733019511654, -0.0053975180549093674, 0.0]",[0.5],"[0.0, 0.0, 0.0]","[51.27231335491328, 59.737887755746506, 46.564220841790444, 38.48409217288147]"
0.045,"[0.9999990216310619, 3.553144003844387e-05, 3.3265468807908154e-06]","[0.9859960370705049, 0.16676874671610228, 0.0]","[-0.00020638924247522256, 0.005492547948131745, 0.0005837768042021985]","[-0.6985592927089118, 4.130130542039129, 0.0]","[0.9996622756302498, -0.02594747285565073, -0.0014364265074500702, 3.6116790332840997e-06]","[[0.9999981734917571, 3.444533700684242e-05, -0.0019109753186263008], [4.2577254972174066e-05, 0.999187998929425, 0.04029070590829543], [0.0019108114315649887, -0.040290713681072364, 0.9991861724377209]]","[-2.491219231901693, -0.24223949042357937, -0.001804700788006634]",[9.864529002857966],"[0.9965765272941155, -0.08237770231142821, -0.007009950662500258, 0.0]",[0.5],"[0.0, 0.0, 0.0]","[51.171098828224366, 58.48168072477989, 46.03761930951074, 41.30954218443399]"
0.049999999999999996,"[0.9999979896848495, 6.29941797791026e-05, 6.245430901801808e-06]","[0.9822872507286887, 0.18738131458572463, 0.0]","[-0.00034835180061387164, 0.008056778336984507, 0.0008956667591235501]","[-0.7849010150966805, 4.114595214138885, 0.0]","[0.9994802363307649, -0.03217277904166857, -0.0020419202946696667, 5.868959046799741e-06]","[[0.9999958733316889, 6.732235705987809e-05, -0.002872070210313658], [8.176419418491347e-05, 0.998653457278722, 0.0518774091476449], [0.0028716953545389404, -0.0518774298992909, 0.9986493306625879]]","[-2.627742776877736, -0.29520809199770814, -0.0029177789135822092]",[9.885730343837619],"[0.9957603777439222, -0.09156192565503761, -0.008813846244557721, 0.0]",[0.5],"[0.0, 0.0, 0.0]","[50.962150937073886, 57.386279514676374, 45.46927327758619, 43.90842318708492]"
