t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0.005,"[1.0, 0.0, 0.0]","[0, 0, 0]","[0.0, 0.0, 0.374846897157458]","[0, 0, 0]","[1.0, 0.0, 0.0, 0.0]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, -7.9874379431491604, 0.14993875886298322]",[9.81],"[0.9220337925653211, 0.0, -0.38710939715745796, 0.0]",[0.5],"[0.0, 0.0, 0.0]","[282.62055734056503, 49.52272205765753, 0.0, 49.52272205765753]"
0.01,"[1.0, 0.0, 0.00187423448578729]","[0, 0, 0]","[0.0, 0.0, 0.6864319172900923]","[0, 0, 0]","[0.9998006170008298, 0.0, -0.019964613459540925, 0.00037477215905887316]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[6.938893903907229e-19, -13.022827308593286, 0.20710032542769446]",[6.061531028425421],"[0.871309234888426, 0.0, -0.4907343652100857, 0.0]",[0.5],"[0.0, 0.0, 0.0]","[224.39673271783894, 104.33865624035421, 0.0, 104.33865624035421]"
0.015,"[1.0, 0.0, 0.005306394072237751]","[0, 0, 0]","[-0.013528758167028799, -5.071213021304365e-06, 0.9759977698952247]","[0, 0, 0]","[0.9986211894704067, 1.8638001400844216e-06, -0.05248737341235197, 0.0008919470323400529]","[[0.9992025475104798, -0.000749394871723589, -0.03992126571006418], [0.000749394871723589, 0.9999997190916575, -1.4964362582015984e-05], [0.03992126571006418, -1.4964362582015984e-05, 0.9992028284188222]]","[-0.008988855927026813, -16.895640356434846, 0.22645844618299693]",[3.323817867163948],"[0.8002838271052087, 0.0, -0.5996213772655545, 0.0]",[0.5],"[0.0, 0.0, 0.0]","[196.79464037014728, 120.70409823207046, 0.0, 120.33117123483444]"
0.02,"[0.9999323562091649, -2.5356065106521824e-08, 0.010186382921713874]","[0, 0, 0]","[-0.04804296325352482, -3.7124143913916834e-05, 1.2543734685004315]","[0, 0, 0]","[0.995515830560453, -1.2606593749394297e-05, -0.09458390257829037, 0.001454756909569242]","[[0.9944885601255277, -0.0017816300647078833, -0.10483000321361867], [0.001781238760812209, 0.9999984088540356, -9.735437452659553e-05], [0.10483000986326267, -8.990945327529066e-05, 0.9944901512575972]]","[-0.025429893538454235, -20.28360251920278, 0.23028102874085732]",[1.031092948877792],"[0.7069977597746161, -3.6356274259652985e-06, -0.7072157857828518, 0.0]",[0.5],"[0.0, 0.0, 0.0]","[184.06417801321183, 126.75318679398838, 0.0, 126.10297374097661]"
0.025,"[0.9996921413928973, -2.1097678467610602e-07, 0.01645825026421603]","[0, 0, 0]","[-0.10781888822143254, -0.00011650804518350044, 1.5170616317667829]","[0, 0, 0]","[0.9894472535520372, -5.650655300603328e-05, -0.14487942992522737, 0.002019908384349705]","[[0.9821035381107893, -0.0028940823045166897, -0.18831958134481017], [0.002898851827856837, 0.999995767046816, -0.00025009304432565096], [0.1883195079866927, -0.00030029329891351686, 0.9821077704282688]]","[-0.04759654207973818, -23.315106368451445, 0.2245741949105093]",[0.0],"[0.5977066431634042, -3.1288621951922035e-05, -0.8017148918034123, 0.0]",[0.5],"[0.0, 0.0, 0.0]","[174.11214343774714, 129.209368648472, 0.0, 128.34872208605702]"
0.030000000000000002,"[0.9991530469517902, -7.935170105936083e-07, 0.024043558423049945]","[0, 0, 0]","[-0.19210111104378075, -0.0002556938410875856, 1.749642848777197]","[0, 0, 0]","[0.9793390297319945, -0.00013761313663009528, -0.20220906749706127, 0.0025571328063081367]","[[0.9580117415093199, -0.003980812332269989, -0.2867013363475225], [0.004013558881016204, 0.9999918335542566, -0.0004734658430925201], [0.2867008797952817, -0.0006971068578105691, 0.9580198951831012]]","[-0.07401583719796818, -25.87962858899307, 0.20956620340664103]",[0.0],"[0.48649992942893483, -0.00011433815933929141, -0.8736806084562178, 0.0]",[0.5],"[0.0, 0.0, 0.0]","[160.14125703708038, 129.25442141089928, 0.0, 128.22836075956067]"
0.035,"[0.9981925413965713, -2.0719862160315365e-06, 0.032791772666935934]","[0, 0, 0]","[-0.2937259542430636, -0.00045188344996993434, 1.9361973450663847]","[0, 0, 0]","[0.9642387474976695, -0.000258784873249562, -0.26501765492495555, 0.0030353636671819513]","[[0.9182099081875598, -0.004952946674784693, -0.39606316772129935], [0.0050642531709179615, 0.9999868842688713, -0.0007646110490480359], [0.39606176014103434, -0.0013036907118708118, 0.9182229481691873]]","[-0.10367378115828015, -27.863395758800007, 0.18628190519491636]",[0.0],"[0.38682764536750824, -0.00029306704606508555, -0.9221519868715438, 0.0]",[0.5],"[0.0, 0.0, 0.0]","[140.8462697343077, 126.04840388425157, 0.0, 124.86641134494211]"
0.04,"[0.996723911625356, -4.331403465881208e-06, 0.042472759392267856]","[0, 0, 0]","[-0.4019874330992934, -0.0006869677903072779, 2.0692200564078282]","[0, 0, 0]","[0.9434901227453931, -0.0004196647038981737, -0.33138267674564614, 0.0034254512563724935]","[[0.8595128582909702, -0.005716465400809615, -0.5110821543116213], [0.005990795641764218, 0.9999814391955947, -0.0011097891177349467], [0.5110790122868138, -0.0021079107259489504, 0.8595311512169331]]","[-0.13615454111404215, -29.266958659327695, 0.1576932460474856]",[0.0],"[0.30478153150889065, -0.0006137369665260295, -0.9524220920253955, 0.0]",[0.5],"[0.0, 0.0, 0.0]","[118.4720600195544, 119.69704712011466, 0.0, 118.33247859196278]"
0.045,"[0.9947139744598595, -7.766242417417598e-06, 0.052818859674306995]","[0, 0, 0]","[-0.5050434515943639, -0.0009306129353750777, 2.1487801805670195]","[0, 0, 0]","[0.9167913667040816, -0.0006191713114362123, -0.3993488155900664, 0.0037054082852349323]","[[0.7803475756731616, -0.006185619626839599, -0.625315439798868], [0.006741898078493383, 0.9999761803304531, -0.0014783714068113138], [0.625309689634919, -0.0030621694187825017, 0.7803706908688538]]","[-0.17158460011689586, -30.164552693730947, 0.12767442695560843]",[0.0],"[0.23975423260287762, -0.0011284595214278404, -0.9708329591274256, 0.0]",[0.5],"[0.0, 0.0, 0.0]","[94.74143942347781, 110.31693088551647, 0.0, 108.69923941763015]"
0.049999999999999996,"[0.9921887572018877, -1.2419307094292986e-05, 0.0635627605771421]","[0, 0, 0]","[-0.5908681169209837, -0.0011444232722121403, 2.179553408279522]","[0, 0, 0]","[0.8841638452558863, -0.0008580396845345672, -0.467160186608136, 0.003862454980473539]","[[0.6810135868725017, -0.006299641992295524, -0.7322436814379614], [0.007288703311773123, 0.9999717731526537, -0.0018241989943012515], [0.7322345043079319, -0.004094802645643506, 0.6810402802273965]]","[-0.2098324089707772, -30.633233099134042, 0.09953852625192236]",[0.0],"[0.18960379158670995, -0.0018815834040969079, -0.9818588808275032, 0.0]",[0.5],"[0.0, 0.0, 0.0]","[68.4602370287376, 97.81930406216553, 0.0, 95.84434338377815]"
0.05499999999999999,"[0.9892344166172828, -1.814142345535369e-05, 0.0744605276185397]","[0, 0, 0]","[-0.6476289328383695, -0.0012881274060023884, 2.1692226523606526]","[0, 0, 0]","[0.8459087370723571, -0.0011389723134805551, -0.5333122591354473, 0.0038917274524691414]","[[0.5634928829795506, -0.00602840213703776, -0.8260989221631201], [0.007631770053615178, 0.9999686904188472, -0.002091475045166625], [0.8260856656045081, -0.0051260657126075485, 0.5635212476323025]]","[-0.24814973433748344, -30.70849020430966, 0.0750650240045311]",[0.0],"[0.15332561856249297, -0.0028484929136608915, -0.9881716150449524, 0.0]",[0.5],"[0.0, 0.0, 0.0]","[27.433028483128727, 81.76947911390545, 0.0, 79.39190425284153]"
0.05999999999999999,"[0.985996271953091, -2.458206048536563e-05, 0.08530664088034297]","[0, 0, 0]","[-0.6813908827498543, -0.0013713494395030412, 2.136305835757031]","[0, 0, 0]","[0.8026023737443108, -0.001460763720684871, -0.5965005339921907, 0.0037958894058419176]","[[0.4311257774265623, -0.005369236713505902, -0.9022758643205837], [0.00779894830388607, 0.9999671143990096, -0.00222407865671808], [0.9022581340413038, -0.0060779451817449485, 0.4311534739958292]]","[-0.2765691321274898, -30.70849020430966, 0.06009756172539432]",[0.0],"[0.1317242191655962, -0.0037905628627751316, -0.9912791542841992, 0.0]",[0.5],"[0.0, 0.0, 0.0]","[0.0, 62.32144541595796, 0.0, 59.99807147595799]"
0.06499999999999999,"[0.9825893175393418, -3.1438807682880836e-05, 0.09598817005912812]","[0, 0, 0]","[-0.7304765293258177, -0.0014832922655675373, 2.1020386877365804]","[0, 0, 0]","[0.7545860972646353, -0.0018085844552160751, -0.6561886547806433, 0.0036055754553678027]","[[0.2883454083412999, -0.004350487016349319, -0.957516578838826], [0.007835872374049098, 0.9999669147859418, -0.002183675255717509], [0.9574943992486988, -0.0068733249745225045, 0.2883699582327673]]","[-0.2897767980104609, -30.030557516008262, 0.0667094711637736]",[0.0],"[0.12009341949615132, -0.004549538766498184, -0.992752170630079, 0.0]",[0.5],"[0.0, 0.0, 0.0]","[0.0, 42.45850222660966, 82.3366679129898, 40.873558109091825]"
0.06999999999999999,"[0.9789369348927127, -3.885526901071852e-05, 0.10649836349781101]","[0, 0, 0]","[-0.7995351127622715, -0.0016229282814138506, 2.0626696016943358]","[0, 0, 0]","[0.7033403228404923, -0.0021878219757641617, -0.7108418696626176, 0.003382312254742153]","[[0.13880689832561083, -0.003067889021067463, -0.9903147141359547], [0.007814979423969139, 0.999967457695808, -0.0020024100442658376], [0.990288630185072, -0.007461340786805777, 0.13882635671887616]]","[-0.30146583831497903, -28.64756701756217, 0.09413550032660507]",[0.8071256598017907],"[0.10195705767991697, -0.005976730980832341, -0.9947708465149333, 0.0]",[0.5],"[0.0, 0.0, 0.0]","[0.0, 10.811586518415385, 117.60061642891554, 0.0]"
0.075,"[0.9749392593289014, -4.696991041778777e-05, 0.1168117115062827]","[0, 0, 0]","[-0.8922476642716685, -0.0017834240352843336, 2.0126366157334568]","[0, 0, 0]","[0.650761120531114, -0.002636202702026917, -0.759271377352549, 0.0031606919441312226]","[[-0.01061520740326899, -0.001647442258913081, -0.9999422999882489], [0.007868224113877716, 0.9999675467976277, -0.0017310115043844133], [0.9999127003999296, -0.00788614516339037, -0.010601900460886993]]","[-0.30146583831497903, -26.7932089908943, 0.13122266085996245]",[1.919854325745343],"[0.07486221516743413, -0.00923652442058076, -0.9971511095901426, 0.0]",[0.5],"[0.0, 0.0, 0.0]","[0.0, 0.0, 136.1748150969139, 0.0]"
